window,QRF_leaf,QRT_leaf
1,0.000000,0.000000
2,0.000000,0.000000
3,0.000000,-0.001763
4,0.000000,0.000000
5,0.173245,0.000000
6,0.000000,-0.019753
7,0.000000,0.000000
8,0.092270,0.000000
9,0.188062,0.085471
10,0.142220,0.136344
11,0.000000,0.000000
12,0.139488,0.119374
13,0.071985,0.053787
14,0.128611,-0.086843
15,0.000000,0.000000
16,0.086618,0.062526
17,0.000000,0.000000
18,0.044679,0.000000
19,0.098040,0.089293
20,0.000000,0.000000
