window,QRF_leaf_long_annualized,QRF_leaf_short_annualized,QRT_leaf_long_annualized,QRT_leaf_short_annualized
1,0.000000,0.000000,0.000000,0.028192
2,0.000000,0.000000,-0.019687,-0.287357
3,0.000000,0.000000,0.000000,0.068426
4,0.000000,0.000000,0.000000,0.101309
5,0.000000,0.173245,0.000000,0.075116
6,0.000000,0.000000,0.036276,-0.132427
7,0.000000,0.000000,-0.073591,0.000000
8,0.000000,0.092270,0.000000,0.026331
9,0.003306,0.187787,0.000000,0.149247
10,-0.002382,0.142525,-0.112961,0.143437
11,0.000000,0.000000,0.103600,0.000000
12,0.139488,0.000000,0.130881,0.000000
13,0.071985,0.000000,0.055880,-0.006234
14,0.128611,0.000000,0.099464,0.000000
15,0.000000,0.000000,0.000000,0.012671
16,0.086618,0.000000,0.072436,0.000000
17,0.000000,0.000000,0.000000,0.034964
18,0.044679,0.000000,0.031037,0.000000
19,0.098040,0.000000,0.094389,0.000000
20,0.000000,0.000000,0.000000,0.000000
