model,criterion,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
QRF_leaf,r2,0.000000,0.000000,0.000000,0.000000,0.173245,0.000000,0.000000,0.092270,0.188062,0.142220,0.000000,0.139488,0.071985,0.128611,0.000000,0.086618,0.000000,0.044679,0.098040,0.000000
QRT_leaf,r2,0.000000,0.000000,-0.001763,0.000000,0.000000,-0.019753,0.000000,0.000000,0.085471,0.136344,0.000000,0.119374,0.053787,-0.086843,0.000000,0.062526,0.000000,0.000000,0.089293,0.000000
