window,QRF_leaf,QRT_leaf
1,0.000000,0.000000
2,0.000000,-0.063313
3,0.000000,0.069309
4,0.000000,-0.110975
5,0.210752,0.065906
6,0.000000,0.037995
7,0.000000,-0.115963
8,0.043214,0.000000
9,0.072324,0.099480
10,0.137674,0.080058
11,0.000000,0.000000
12,0.151138,-0.059293
13,0.066218,0.000000
14,0.162509,0.000000
15,0.000000,0.000000
16,0.074655,0.012238
17,0.000000,0.000000
18,0.128168,0.108429
19,0.093610,0.090769
20,0.000000,0.015365
