model,criterion,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
QRF_leaf,r2,0.000000,0.000000,0.000000,0.000000,0.210752,0.000000,0.000000,0.043214,0.072324,0.137674,0.000000,0.151138,0.066218,0.162509,0.000000,0.074655,0.000000,0.128168,0.093610,0.000000
QRT_leaf,r2,0.000000,-0.063313,0.069309,-0.110975,0.065906,0.037995,-0.115963,0.000000,0.099480,0.080058,0.000000,-0.059293,0.000000,0.000000,0.000000,0.012238,0.000000,0.108429,0.090769,0.015365
