window,QRF_leaf_long_annualized,QRF_leaf_short_annualized,QRT_leaf_long_annualized,QRT_leaf_short_annualized
1,0.000000,0.000000,0.000000,0.013725
2,0.000000,0.000000,-0.177205,0.027233
3,0.000000,0.000000,0.000000,0.103868
4,0.000000,0.000000,0.000000,0.131923
5,0.042082,0.203533,0.000000,0.120059
6,0.000000,0.000000,0.146591,0.000000
7,0.000000,0.000000,0.130476,0.000000
8,0.013046,0.034912,-0.087665,0.000000
9,0.000000,0.175636,0.000000,0.179781
10,0.000000,0.137674,0.000000,0.117894
11,0.000000,0.000000,0.102172,0.000000
12,0.163562,0.000000,0.118225,0.000000
13,0.069742,-0.014403,-0.021077,0.000000
14,0.162509,0.000000,0.124175,0.000000
15,0.000000,0.000000,0.000000,0.026947
16,0.074655,0.000000,0.049155,0.000000
17,0.000000,0.000000,0.000000,0.063166
18,0.128176,-0.000164,0.126154,0.000000
19,0.093610,0.000000,0.093576,0.000000
20,0.000000,0.000000,0.038474,0.000000
