model,criterion,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
QRF_leaf,r2,0.000000,0.000000,0.000000,0.000000,0.193252,0.000000,0.000000,0.030239,0.201413,0.137094,0.000000,0.164177,0.051174,0.151334,0.000000,0.087206,0.000000,0.104076,0.095600,0.000000
QRT_leaf,r2,-0.003821,0.000000,0.000000,0.082911,0.140955,0.000000,-0.013216,0.000000,0.037375,0.084699,0.000000,0.000000,0.027883,0.129703,0.000000,0.082850,0.000000,0.000000,0.085314,0.000000
