window,ql,qh,model,criterion,pinball_ql,pinball_qh,pinball_sum,coverage,cum_return,avg_return,annualized_return,long_annualized_return,short_annualized_return
1,0.2,0.8,QRT_leaf,r2,0.010888534889890911,0.026396695175155572,0.037285230065046485,0.6579828805359137,-0.03999766266330018,-1.488562064134585e-05,-0.0038209394966440824,0.0,0.07125286816637177
1,0.2,0.8,QRF_leaf,r2,0.01002467228065038,0.010259060796786162,0.02028373307743654,0.6661704503163379,-2.662775776317048,-0.0009909846581008742,0.0,0.0,0.0
2,0.2,0.8,QRT_leaf,r2,0.010667669671039772,0.016181577073186876,0.026849246744226646,0.6572898799313893,-1.6095450112792595,-0.0005521595235949492,0.0,0.0,0.02893971289399544
2,0.2,0.8,QRF_leaf,r2,0.01005923241161563,0.00993923887377703,0.019998471285392658,0.6469982847341338,-2.404335442831957,-0.0008248149032013594,0.0,0.0,0.0
3,0.2,0.8,QRT_leaf,r2,0.009340896041030012,0.009742495267133892,0.019083391308163902,0.6560468140442133,-2.3707430579666218,-0.000770722710652343,0.0,0.0,0.007498950801988702
3,0.2,0.8,QRF_leaf,r2,0.00906107689274071,0.009260558632116264,0.018321635524856973,0.6950585175552666,-3.2770634507186935,-0.001065365231052892,0.0,0.0,0.0
4,0.2,0.8,QRT_leaf,r2,0.01082037162195636,0.010666779982969742,0.021487151604926102,0.5391044776119402,1.8831167614903388,0.0005621244064150261,0.08291064177815177,0.0,0.14202089571005616
4,0.2,0.8,QRF_leaf,r2,0.010326371462263654,0.00993019051149552,0.020256561973759173,0.6035820895522388,-8.930273383770253,-0.002665753248886644,0.0,0.0,0.0
5,0.2,0.8,QRT_leaf,r2,0.011339146487246349,0.011658463085640123,0.02299760957288647,0.5459533607681756,3.5991699277223783,0.0012342832399596668,0.1409552076948104,-0.06252561024702574,0.15168787581208987
5,0.2,0.8,QRF_leaf,r2,0.010808838007880031,0.011438102036508567,0.022246940044388597,0.5857338820301783,6.725020521043124,0.002306248464006555,0.1932517165925438,0.0,0.1932517165925438
6,0.2,0.8,QRT_leaf,r2,0.015337853744556382,0.01515801605548273,0.030495869800039113,0.39493819894055326,-1.9088478863751153,-0.00056175629381257,0.0,0.04551219205344026,0.0
6,0.2,0.8,QRF_leaf,r2,0.013359696263845675,0.014741973830454285,0.02810167009429996,0.44173042966450854,-5.874295975436594,-0.0017287510227888773,0.0,0.0,0.0
7,0.2,0.8,QRT_leaf,r2,0.014445938552489301,0.015590678369549813,0.030036616922039114,0.4120070629782225,-0.16422392771135863,-4.832958437650326e-05,-0.013216019736154605,0.093780368899953,0.0
7,0.2,0.8,QRF_leaf,r2,0.013347406530144067,0.014750284288377696,0.028097690818521762,0.44173042966450854,-5.77106314687242,-0.001698370555289118,0.0,0.0,0.0
8,0.2,0.8,QRT_leaf,r2,0.012613376076998646,0.013271359047619882,0.02588473512461853,0.5471599791558103,-6.299762878309051,-0.0016414181548486358,0.0,0.0,0.0
8,0.2,0.8,QRF_leaf,r2,0.011952171661113823,0.011447269306796773,0.023399440967910596,0.5557582073996873,0.5741450377039012,0.00014959485088689587,0.030238557829528556,0.0,0.030238557829528556
9,0.2,0.8,QRT_leaf,r2,0.013660347049700828,0.013237056696049429,0.026897403745750257,0.5627705627705628,0.7714605043901344,0.00019645034489181024,0.037374837485287804,0.0,0.16188984902847103
9,0.2,0.8,QRF_leaf,r2,0.013434878688513183,0.012162338416501045,0.02559721710501423,0.5841609371021136,16.453032139963785,0.004189720432891199,0.20141278578912414,0.0,0.2061548479463251
10,0.2,0.8,QRT_leaf,r2,0.011181813727624569,0.010204026217058158,0.021385839944682725,0.7013871988318325,2.764743998513171,0.0006728508149216781,0.08469879763616728,0.0,0.11319288423067375
10,0.2,0.8,QRF_leaf,r2,0.009382362970953146,0.00980664298418921,0.019189005955142356,0.7206132879045997,7.124355413891005,0.0017338416680192296,0.1370937008369415,0.0,0.1370937008369415
11,0.2,0.8,QRT_leaf,r2,0.00966130868278402,0.013872430776370402,0.02353373945915442,0.7241988950276244,-7.904143953065296,-0.0017467721443238241,0.0,0.09836839160163602,0.0
11,0.2,0.8,QRF_leaf,r2,0.009327894874306781,0.00900868292878574,0.018336577803092523,0.727292817679558,-18.277300277574625,-0.0040391823817844475,0.0,0.0,0.0
12,0.2,0.8,QRT_leaf,r2,0.0216859437010023,0.009907148638031759,0.03159309233903406,0.6451481932602517,-1.6929878120102078,-0.0003436840868879814,0.0,0.11123816968781708,0.0
12,0.2,0.8,QRF_leaf,r2,0.00999448396360295,0.009848113598890562,0.019842597562493514,0.6640276086073894,18.521694871513187,0.003759986778626301,0.16417740685205962,0.16417740685205962,0.0
13,0.2,0.8,QRT_leaf,r2,0.01075276459439623,0.010911256558691254,0.021664021153087486,0.6224131198750488,0.7488807546154155,0.00014620865962815502,0.027883010968680955,0.04243784832851283,-0.041620206184946995
13,0.2,0.8,QRF_leaf,r2,0.010541915948408382,0.010647503837882918,0.0211894197862913,0.6118703631393987,1.7576741852594853,0.0003431616917726452,0.051173749478941266,0.051173749478941266,0.0
14,0.2,0.8,QRT_leaf,r2,0.010849654343677975,0.012860943661171997,0.023710598004849974,0.5310777418741685,11.756628414420446,0.0022346756157423306,0.1297031781105713,0.13917047364064583,0.0
14,0.2,0.8,QRF_leaf,r2,0.010824112315155808,0.012694735922772378,0.023518848237928186,0.5400114046759171,17.953971828239485,0.0034126538354380446,0.15133413157305542,0.15133413157305542,0.0
15,0.2,0.8,QRT_leaf,r2,0.010732733444360506,0.015596684359209741,0.026329417803570246,0.5601688951442646,-6.623973648632051,-0.0011653718593652505,0.0,0.0,0.022401939774225
15,0.2,0.8,QRF_leaf,r2,0.010476040786430944,0.010585348734430532,0.021061389520861475,0.5842716396903589,-9.219408742907152,-0.0016219930934037912,0.0,0.0,0.0
16,0.2,0.8,QRT_leaf,r2,0.021261684597812948,0.013296432392112726,0.034558116989925676,0.5347725774555043,5.798088803834786,0.0009555189195508858,0.08285042420248256,0.07952960034977119,0.016546514703355664
16,0.2,0.8,QRF_leaf,r2,0.012260604037394943,0.011956120204233256,0.0242167242416282,0.5280158206987475,6.488059625208759,0.0010692253831919506,0.08720633581637105,0.08720633581637105,0.0
17,0.2,0.8,QRT_leaf,r2,0.012045051889535066,0.012191168835726646,0.024236220725261715,0.5714285714285714,-7.258804821805302,-0.001156044723969628,0.0,0.0,0.019933524828186888
17,0.2,0.8,QRF_leaf,r2,0.011969558194317293,0.011833158201838102,0.023802716396155395,0.5516802038541169,-8.547985322729936,-0.0013613609368896265,0.0,0.0,0.0
18,0.2,0.8,QRT_leaf,r2,0.01667507376579774,0.01841812384270083,0.03509319760849857,0.3972179289026275,-6.041596756720724,-0.0009337862066028996,0.0,0.054295573153098076,0.0
18,0.2,0.8,QRF_leaf,r2,0.016543333865883983,0.018001411413090595,0.03454474527897458,0.38809891808346214,11.705068242842799,0.0018091295583991917,0.10407555686085579,0.10407555686085579,0.0
19,0.2,0.8,QRT_leaf,r2,0.012900331093980548,0.013068316326182954,0.025968647420163502,0.5873193821624315,12.57344402830042,0.0015661988077105553,0.08531372017337624,0.08930677281689747,0.0
19,0.2,0.8,QRF_leaf,r2,0.012989993471144184,0.013076181939308384,0.026066175410452568,0.5844544095665172,17.331587518476244,0.0021588923167010807,0.09559999182300438,0.09559999182300438,0.0
20,0.2,0.8,QRT_leaf,r2,0.015633118817858668,0.017022151429396722,0.03265527024725539,0.5121660936260248,-5.838407712266415,-0.0007720719005906469,0.0,0.0,0.0
20,0.2,0.8,QRF_leaf,r2,0.01574842777953297,0.016061361432112026,0.031809789211645,0.49907431896323723,-3.431777427306279,-0.0004538187552639695,0.0,0.0,-0.00262042367372195
