window,QRF_leaf,QRT_leaf
1,0.000000,-0.003821
2,0.000000,0.000000
3,0.000000,0.000000
4,0.000000,0.082911
5,0.193252,0.140955
6,0.000000,0.000000
7,0.000000,-0.013216
8,0.030239,0.000000
9,0.201413,0.037375
10,0.137094,0.084699
11,0.000000,0.000000
12,0.164177,0.000000
13,0.051174,0.027883
14,0.151334,0.129703
15,0.000000,0.000000
16,0.087206,0.082850
17,0.000000,0.000000
18,0.104076,0.000000
19,0.095600,0.085314
20,0.000000,0.000000
